GENESIS-Tabelle: 12421-0002
Projected population figures: Germany, reference date,;;;;;;;;;;;;;;
variants of the population projection, sex, age years;;;;;;;;;;;;;;
Population projections;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;
Projected population figures (1000);;;;;;;;;;;;;;
;;;;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date
;;;;2022-12-31;2025-12-31;2030-12-31;2035-12-31;2040-12-31;2045-12-31;2050-12-31;2055-12-31;2060-12-31;2065-12-31;2070-12-31
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Male;40 years;549.3;554.1;610.0;542.6;538.3;496.9;500.3;524.6;525.7;511.1;508.3
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Male;45 years;500.7;543.7;557.4;611.6;544.7;540.7;499.7;503.3;527.7;529.1;514.6
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Male;50 years;520.6;475.3;541.7;554.8;608.8;542.9;539.4;499.0;502.9;527.4;529.0
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Male;55 years;672.3;581.5;467.0;532.6;546.2;600.0;535.7;532.8;493.4;497.7;522.4
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Male;60 years;655.9;669.7;561.2;451.8;516.6;530.8;584.3;522.6;520.5;482.8;487.6
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Male;65 years;530.5;586.9;630.3;530.5;428.3;491.6;506.8;559.7;501.7;501.1;465.7
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Male;70 years;433.0;453.3;535.1;578.7;489.5;396.9;458.0;474.2;526.1;473.2;474.3
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Male;75 years;320.4;373.9;395.7;471.5;514.0;437.6;356.9;414.5;431.8;481.8;435.4
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Male;80 years;272.3;196.9;303.0;324.6;391.1;430.6;369.9;304.1;356.4;374.3;420.8
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Male;85 years;204.1;236.6;135.8;213.5;232.6;284.8;318.4;277.3;231.0;274.4;291.7
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Male;90 years;62.2;88.4;116.9;69.1;111.9;125.3;157.6;180.7;161.1;137.3;166.7
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Male;95 years;14.0;16.7;24.6;34.3;21.2;35.9;42.0;55.0;65.6;60.7;53.6
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Male;100 years and over;3.7;3.1;4.6;7.0;11.3;10.0;13.7;17.9;24.8;33.1;35.5
